Fecha,Dataset,kernel,c,bagging_estimators,tiempoPromedio,auc1,auc2,auc3
2018-03-21 16:08:28,england-vs-all,linear,0.5,10,96.623903,0.603138,0.608277,0.607927
2018-03-21 16:19:40,england-vs-all,poly,0.5,10,71.424093,0.655742,0.661741,0.663524
2018-03-21 16:37:36,england-vs-all,rbf,0.5,10,67.477079,0.5,0.5,0.5
2018-03-21 16:48:01,england-vs-all,linear,1,10,94.981375,0.606078,0.601625,0.620143
2018-03-21 16:59:10,england-vs-all,poly,1,10,69.83533,0.658761,0.667507,0.659111
2018-03-21 17:17:11,england-vs-all,rbf,1,10,68.392862,0.5,0.5,0.5
2018-03-21 17:27:29,england-vs-all,linear,1.5,10,93.819225,0.60859,0.602149,0.608128
2018-03-21 17:38:34,england-vs-all,poly,1.5,10,68.748247,0.655341,0.659333,0.663918
2018-03-21 17:55:21,england-vs-all,rbf,1.5,10,67.987084,0.5,0.5,0.5
2018-03-23 12:04:15,england-vs-all,poly,0.100000,10,72.179442,0.652414,0.655620,0.666558
2018-03-23 12:15:17,england-vs-all,poly,0.010000,10,69.730739,0.653170,0.663461,0.658725
2018-03-23 12:26:42,england-vs-all,poly,2.000000,10,77.598854,0.652988,0.657188,0.660618
